"Discipline","Female","Male","Total"
"Sport Climbing",20,20,40
"Golf",60,60,120
"Handball",168,168,336
"Archery",64,64,128
"Baseball/Softball",90,144,234
"Cycling BMX Freestyle",10,9,19
"Handball",168,168,336
"Karate",40,42,82
"Cycling BMX Freestyle",10,9,19
"Hockey",192,192,384
"Karate",40,42,82
"Taekwondo",65,65,130
"Judo",192,201,393
"Surfing",20,20,40
"Diving",72,71,143
"Skateboarding",40,40,80
"Water Polo",122,146,268
"Rhythmic Gymnastics",96,0,96
"Golf",60,60,120
"Modern Pentathlon",36,36,72
"Rowing",257,265,522
"Canoe Slalom",41,41,82
"Golf",60,60,120
"Rugby Sevens",146,151,297
"Boxing",102,187,289
"Canoe Sprint",123,126,249
"Sailing",175,175,350
"Basketball",144,144,288
"Weightlifting",98,99,197
"Cycling Mountain Bike",38,38,76
"Equestrian",73,125,198
"Artistic Gymnastics",98,98,196
"Diving",72,71,143
"Swimming",361,418,779
"Table Tennis",86,86,172
"Canoe Sprint",123,126,249
"Equestrian",73,125,198
"Trampoline Gymnastics",16,16,32
"Canoe Slalom",41,41,82
"Rowing",257,265,522
"Taekwondo",65,65,130
"Sport Climbing",20,20,40
"Shooting",178,178,356
"Triathlon",55,55,110
"Volleyball",144,144,288
"Trampoline Gymnastics",16,16,32
"Hockey",192,192,384
"Cycling Mountain Bike",38,38,76
"Cycling Track",90,99,189
"Beach Volleyball",48,48,96
"Handball",168,168,336
"3x3 Basketball",32,32,64
"Surfing",20,20,40
"Basketball",144,144,288
"Weightlifting",98,99,197
"Skateboarding",40,40,80
"Artistic Swimming",105,0,105
"Judo",192,201,393
"Baseball/Softball",90,144,234
"Wrestling",96,193,289
"Football",264,344,608
"Football",264,344,608
"Marathon Swimming",25,25,50
"Basketball",144,144,288
"Badminton",86,87,173
"Swimming",361,418,779
"Rowing",257,265,522
"Archery",64,64,128
"Karate",40,42,82
"Fencing",107,108,215
"Diving",72,71,143
"Boxing",102,187,289
"Cycling Mountain Bike",38,38,76
"Canoe Slalom",41,41,82
"Modern Pentathlon",36,36,72
"Judo",192,201,393
"Archery",64,64,128
"Shooting",178,178,356
"Cycling BMX Racing",24,24,48
"Cycling Road",70,131,201
"Beach Volleyball",48,48,96
"Table Tennis",86,86,172
"Cycling BMX Racing",24,24,48
"Rugby Sevens",146,151,297
"Triathlon",55,55,110
"Athletics",969,1072,2041
"Artistic Swimming",105,0,105
"Hockey",192,192,384
"Badminton",86,87,173
"Cycling BMX Racing",24,24,48
"Table Tennis",86,86,172
"Wrestling",96,193,289
"Cycling BMX Freestyle",10,9,19
"Tennis",94,97,191
"Athletics",969,1072,2041
"Fencing",107,108,215
"Shooting",178,178,356
"Water Polo",122,146,268
"Marathon Swimming",25,25,50
"Cycling Road",70,131,201
"Tennis",94,97,191
"Volleyball",144,144,288
"Sailing",175,175,350
"3x3 Basketball",32,32,64
"Cycling Track",90,99,189
"Sport Climbing",20,20,40
"Wrestling",96,193,289
"Canoe Sprint",123,126,249
"Athletics",969,1072,2041
"Rugby Sevens",146,151,297
"Volleyball",144,144,288
"Cycling Track",90,99,189
"Artistic Gymnastics",98,98,196
"Modern Pentathlon",36,36,72
"Marathon Swimming",25,25,50
"Badminton",86,87,173
"Water Polo",122,146,268
"Swimming",361,418,779
"Taekwondo",65,65,130
"Baseball/Softball",90,144,234
"Cycling Road",70,131,201
"Rhythmic Gymnastics",96,0,96
"Triathlon",55,55,110
"Fencing",107,108,215
"Sailing",175,175,350
"Artistic Gymnastics",98,98,196
"Artistic Swimming",105,0,105
"Trampoline Gymnastics",16,16,32
"Boxing",102,187,289
"Beach Volleyball",48,48,96
"Weightlifting",98,99,197
"Equestrian",73,125,198
"Skateboarding",40,40,80
"3x3 Basketball",32,32,64
"Football",264,344,608
"Rhythmic Gymnastics",96,0,96
"Surfing",20,20,40
"Tennis",94,97,191
